eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
2.2516353130340576,0.0698,57.276,14.319,2.0,4,,,,,,1.400000000000004,17
,,,,2.0,4,1.3639,29.328,2.933,5314938979440.0,5.534235954284668,1.400000000000004,17
2.2516770362854004,0.0336,119.028,29.757,1.0,2,,,,,,1.3000000000000043,18
2.251708507537842,0.0435,91.984,22.996,2.0,4,,,,,,1.3000000000000043,18
,,,,2.0,4,1.3556,29.507,2.951,5314938979440.0,5.533303260803223,1.3000000000000043,18
2.25175142288208,0.0316,126.397,31.599,1.0,2,,,,,,1.2000000000000037,19
2.251783847808838,0.0469,85.337,21.334,2.0,4,,,,,,1.2000000000000037,19
,,,,2.0,4,1.3657,29.29,2.929,5314938979440.0,5.532597541809082,1.2000000000000037,19
2.251830577850342,0.0472,84.73,21.182,1.0,2,,,,,,1.1000000000000032,20
2.2517807483673096,0.0462,86.663,21.666,2.0,4,,,,,,1.1000000000000032,20
,,,,2.0,4,1.3464,29.708,2.971,5314938979440.0,5.5335283279418945,1.1000000000000032,20
2.2518372535705566,0.0316,126.453,31.613,1.0,2,,,,,,1.0000000000000036,21
2.251924514770508,0.0313,127.985,31.996,2.0,4,,,,,,1.0000000000000036,21
,,,,2.0,4,1.3332,30.003,3.0,5314938979440.0,5.532595157623291,1.0000000000000036,21
2.2518725395202637,0.0313,127.982,31.996,1.0,2,,,,,,0.9000000000000035,22
2.2519547939300537,0.0318,125.775,31.444,2.0,4,,,,,,0.9000000000000035,22
,,,,2.0,4,1.3271,30.14,3.014,5314938979440.0,5.532955169677734,0.9000000000000035,22
2.2519445419311523,0.0316,126.606,31.652,1.0,2,,,,,,0.8000000000000034,23
2.252005100250244,0.0337,118.715,29.679,2.0,4,,,,,,0.8000000000000034,23
,,,,2.0,4,1.3437,29.769,2.977,5314938979440.0,5.534452438354492,0.8000000000000034,23
2.251924514770508,0.0318,125.878,31.469,1.0,2,,,,,,0.7000000000000033,24
2.25205659866333,0.0469,85.297,21.324,2.0,4,,,,,,0.7000000000000033,24
,,,,2.0,4,1.3335,29.996,3.0,5314938979440.0,5.534675598144531,0.7000000000000033,24
2.2520618438720703,0.0336,119.091,29.773,1.0,2,,,,,,0.6000000000000032,25
2.252058506011963,0.0318,125.925,31.481,2.0,4,,,,,,0.6000000000000032,25
,,,,2.0,4,1.3387,29.88,2.988,5314938979440.0,5.536303520202637,0.6000000000000032,25
2.252000331878662,0.0336,119.062,29.765,1.0,2,,,,,,0.5000000000000031,26
2.251953601837158,0.0312,128.004,32.001,2.0,4,,,,,,0.5000000000000031,26
,,,,2.0,4,1.3271,30.14,3.014,5314938979440.0,5.538663864135742,0.5000000000000031,26
2.2519145011901855,0.0313,127.996,31.999,1.0,2,,,,,,0.400000000000003,27
2.2519795894622803,0.0336,119.017,29.754,2.0,4,,,,,,0.400000000000003,27
,,,,2.0,4,1.3413,29.822,2.982,5314938979440.0,5.5417656898498535,0.400000000000003,27
2.251953125,0.0336,118.946,29.737,1.0,2,,,,,,0.30000000000000293,28
2.2519078254699707,0.0492,81.238,20.309,2.0,4,,,,,,0.30000000000000293,28
,,,,2.0,4,1.3454,29.732,2.973,5314938979440.0,5.543575286865234,0.30000000000000293,28
2.2518322467803955,0.0316,126.614,31.653,1.0,2,,,,,,0.20000000000000284,29
2.251857042312622,0.0469,85.365,21.341,2.0,4,,,,,,0.20000000000000284,29
,,,,2.0,4,1.3384,29.885,2.989,5314938979440.0,5.544983863830566,0.20000000000000284,29
2.251749038696289,0.0336,119.09,29.773,1.0,2,,,,,,0.10000000000000275,30
2.251741409301758,0.0336,118.944,29.736,2.0,4,,,,,,0.10000000000000275,30
,,,,2.0,4,1.3431,29.781,2.978,5314938979440.0,5.545558929443359,0.10000000000000275,30
2.251574993133545,0.0336,119.083,29.771,1.0,2,,,,,,2.6645352591003757e-15,31
2.251685380935669,0.0312,128.062,32.015,2.0,4,,,,,,2.6645352591003757e-15,31
,,,,2.0,4,1.353,29.564,2.956,5314938979440.0,5.545112609863281,2.6645352591003757e-15,31
2.251587390899658,0.0327,122.268,30.567,1.0,2,,,,,,-0.09999999999999742,32
2.2516448497772217,0.0477,83.853,20.963,2.0,4,,,,,,-0.09999999999999742,32
,,,,2.0,4,1.3654,29.296,2.93,5314938979440.0,5.54404354095459,-0.09999999999999742,32
2.251572608947754,0.0313,127.957,31.989,1.0,2,,,,,,-0.1999999999999975,33
2.251608371734619,0.0477,83.877,20.969,2.0,4,,,,,,-0.1999999999999975,33
,,,,2.0,4,1.3545,29.532,2.953,5314938979440.0,5.54179573059082,-0.1999999999999975,33
2.251603841781616,0.0336,118.939,29.735,1.0,2,,,,,,-0.2999999999999976,34
2.251528739929199,0.0316,126.527,31.632,2.0,4,,,,,,-0.2999999999999976,34
,,,,2.0,4,1.3561,29.497,2.95,5314938979440.0,5.540678977966309,-0.2999999999999976,34
2.251471519470215,0.0343,116.587,29.147,1.0,2,,,,,,-0.3999999999999977,35
2.2514662742614746,0.0319,125.522,31.38,2.0,4,,,,,,-0.3999999999999977,35
,,,,2.0,4,1.3246,30.198,3.02,5314938979440.0,5.538807392120361,-0.3999999999999977,35
2.2513811588287354,0.0343,116.718,29.179,1.0,2,,,,,,-0.4999999999999978,36
2.251363754272461,0.0313,127.987,31.997,2.0,4,,,,,,-0.4999999999999978,36
,,,,2.0,4,1.3298,30.079,3.008,5314938979440.0,5.536750316619873,-0.4999999999999978,36
2.251385450363159,0.0476,84.016,21.004,1.0,2,,,,,,-0.5999999999999979,37
2.2513556480407715,0.0338,118.304,29.576,2.0,4,,,,,,-0.5999999999999979,37
,,,,2.0,4,1.348,29.674,2.967,5314938979440.0,5.534416675567627,-0.5999999999999979,37
2.251281499862671,0.0325,123.14,30.785,1.0,2,,,,,,-0.699999999999998,38
2.251376152038574,0.0503,79.473,19.868,2.0,4,,,,,,-0.699999999999998,38
,,,,2.0,4,1.3622,29.364,2.936,5314938979440.0,5.530963897705078,-0.699999999999998,38
2.251185417175293,0.0336,119.113,29.778,1.0,2,,,,,,-0.799999999999998,39
2.2512412071228027,0.0316,126.569,31.642,2.0,4,,,,,,-0.799999999999998,39
,,,,2.0,4,1.3281,30.119,3.012,5314938979440.0,5.527842998504639,-0.799999999999998,39
2.2511348724365234,0.0469,85.336,21.334,1.0,2,,,,,,-0.8999999999999981,40
2.2511627674102783,0.0317,126.305,31.576,2.0,4,,,,,,-0.8999999999999981,40
,,,,2.0,4,1.3303,30.067,3.007,5314938979440.0,5.52499532699585,-0.8999999999999981,40
2.2510411739349365,0.0319,125.456,31.364,1.0,2,,,,,,-0.9999999999999982,41
2.251070737838745,0.0343,116.657,29.164,2.0,4,,,,,,-0.9999999999999982,41
,,,,2.0,4,1.3323,30.024,3.002,5314938979440.0,5.522313594818115,-0.9999999999999982,41
2.250955104827881,0.0333,120.274,30.068,1.0,2,,,,,,-1.0999999999999983,42
2.250988483428955,0.0312,128.013,32.003,2.0,4,,,,,,-1.0999999999999983,42
,,,,2.0,4,1.332,30.029,3.003,5314938979440.0,5.518455505371094,-1.0999999999999983,42
2.250894546508789,0.0333,120.224,30.056,1.0,2,,,,,,-1.1999999999999984,43
2.2509095668792725,0.0343,116.686,29.171,2.0,4,,,,,,-1.1999999999999984,43
,,,,2.0,4,1.3555,29.51,2.951,5314938979440.0,5.5151214599609375,-1.1999999999999984,43
2.2507541179656982,0.0321,124.489,31.122,1.0,2,,,,,,-1.2999999999999985,44
2.2507801055908203,0.0469,85.305,21.326,2.0,4,,,,,,-1.2999999999999985,44
,,,,2.0,4,1.3834,28.915,2.892,5314938979440.0,5.510036945343018,-1.2999999999999985,44
2.250671625137329,0.0312,128.097,32.024,1.0,2,,,,,,-1.3999999999999986,45
2.2507877349853516,0.0336,118.89,29.722,2.0,4,,,,,,-1.3999999999999986,45
,,,,2.0,4,1.4194,28.181,2.818,5314938979440.0,5.506621360778809,-1.3999999999999986,45
2.250629186630249,0.0338,118.218,29.554,1.0,2,,,,,,-1.4999999999999987,46
