eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
,,,,2.0,10,3.5587,11.24,2.81,15610061202432.0,8.902702331542969,1.600000000000004,15
2.1686172485351562,0.0316,31.608,31.608,1.0,5,,,,,,1.5000000000000036,16
2.1683661937713623,0.0469,21.333,21.333,2.0,10,,,,,,1.5000000000000036,16
,,,,2.0,10,3.4553,11.576,2.894,15610061202432.0,8.894515228271484,1.5000000000000036,16
2.1721434593200684,0.0607,16.471,16.471,1.0,5,,,,,,1.400000000000004,17
2.1719493865966797,0.0313,31.988,31.988,2.0,10,,,,,,1.400000000000004,17
,,,,2.0,10,3.5039,11.416,2.854,15610061202432.0,8.90340805053711,1.400000000000004,17
2.171316385269165,0.0472,21.166,21.166,1.0,5,,,,,,1.3000000000000043,18
2.1711249351501465,0.0312,32.002,32.002,2.0,10,,,,,,1.3000000000000043,18
,,,,2.0,10,3.4475,11.602,2.901,15610061202432.0,8.894908905029297,1.3000000000000043,18
2.1752192974090576,0.0317,31.509,31.509,1.0,5,,,,,,1.2000000000000037,19
2.1751418113708496,0.0317,31.549,31.549,2.0,10,,,,,,1.2000000000000037,19
,,,,2.0,10,3.4448,11.612,2.903,15610061202432.0,8.901792907714844,1.2000000000000037,19
2.1750259399414062,0.0317,31.53,31.53,1.0,5,,,,,,1.1000000000000032,20
2.1751277446746826,0.0313,31.997,31.997,2.0,10,,,,,,1.1000000000000032,20
,,,,2.0,10,3.4454,11.61,2.902,15610061202432.0,8.896627807617188,1.1000000000000032,20
2.1794040203094482,0.0318,31.496,31.496,1.0,5,,,,,,1.0000000000000036,21
2.179379463195801,0.0312,32.065,32.065,2.0,10,,,,,,1.0000000000000036,21
,,,,2.0,10,3.4535,11.583,2.896,15610061202432.0,8.903757476806641,1.0000000000000036,21
2.1789913177490234,0.0377,26.497,26.497,1.0,5,,,,,,0.9000000000000035,22
2.1790926456451416,0.0317,31.581,31.581,2.0,10,,,,,,0.9000000000000035,22
,,,,2.0,10,3.4644,11.546,2.886,15610061202432.0,8.899893951416015,0.9000000000000035,22
2.18367338180542,0.0316,31.683,31.683,1.0,5,,,,,,0.8000000000000034,23
2.183961868286133,0.0313,31.987,31.987,2.0,10,,,,,,0.8000000000000034,23
,,,,2.0,10,3.4566,11.572,2.893,15610061202432.0,8.905960083007812,0.8000000000000034,23
2.183600664138794,0.0316,31.64,31.64,1.0,5,,,,,,0.7000000000000033,24
2.18365478515625,0.0313,31.991,31.991,2.0,10,,,,,,0.7000000000000033,24
,,,,2.0,10,3.4521,11.587,2.897,15610061202432.0,8.903934478759766,0.7000000000000033,24
2.1880106925964355,0.0316,31.605,31.605,1.0,5,,,,,,0.6000000000000032,25
2.1885128021240234,0.0315,31.696,31.696,2.0,10,,,,,,0.6000000000000032,25
,,,,2.0,10,3.4511,11.591,2.898,15610061202432.0,8.908864593505859,0.6000000000000032,25
2.1885902881622314,0.0312,32.009,32.009,1.0,5,,,,,,0.5000000000000031,26
2.1887784004211426,0.0313,31.99,31.99,2.0,10,,,,,,0.5000000000000031,26
,,,,2.0,10,3.464,11.547,2.887,15610061202432.0,8.909549713134766,0.5000000000000031,26
2.19301438331604,0.0325,30.755,30.755,1.0,5,,,,,,0.400000000000003,27
2.1933958530426025,0.0386,25.899,25.899,2.0,10,,,,,,0.400000000000003,27
,,,,2.0,10,3.4839,11.481,2.87,15610061202432.0,8.911517333984374,0.400000000000003,27
2.193336009979248,0.0397,25.189,25.189,1.0,5,,,,,,0.30000000000000293,28
2.1934964656829834,0.0469,21.327,21.327,2.0,10,,,,,,0.30000000000000293,28
,,,,2.0,10,3.4973,11.437,2.859,15610061202432.0,8.91125259399414,0.30000000000000293,28
2.1971378326416016,0.0474,21.108,21.108,1.0,5,,,,,,0.20000000000000284,29
2.1975367069244385,0.0317,31.581,31.581,2.0,10,,,,,,0.20000000000000284,29
,,,,2.0,10,3.4562,11.573,2.893,15610061202432.0,8.9115966796875,0.20000000000000284,29
2.198241949081421,0.0312,32.001,32.001,1.0,5,,,,,,0.10000000000000275,30
2.198503017425537,0.0313,31.998,31.998,2.0,10,,,,,,0.10000000000000275,30
,,,,2.0,10,3.4739,11.514,2.879,15610061202432.0,8.912518310546876,0.10000000000000275,30
